Officer,Complaints,salary
23331,22,107988
23480,6,60600
23513,30,73164
23807,22,61932
23914,2,53136
24906,3,57426
25580,11,91404
25800,8,107988
25986,8,55764
26049,8,74628
26304,10,82008
26532,12,84402
27472,14,63654
27737,8,93816
27805,1,84402
27936,4,93354
28115,1,83616
28480,22,71382
28547,2,67908
30239,10,89718
30699,1,54672
30703,6,66924
30714,7,90024
30755,7,84876
31387,6,78012
31602,12,78012
31757,1,96084
31932,10,67938
31937,15,76266
302,5,96648
310,4,162012
1636,2,161664
1904,3,87534
1912,1,77580
1967,1,76446
1974,22,102564
2114,16,79134
2278,2,83616
2998,8,104628
3826,6,57744
4082,8,68262
4116,1,77238
4471,5,86142
4620,8,99756
4763,1,64662
4797,1,75372
4963,17,74628
6180,4,72810
6911,4,77238
6982,16,74628
7693,3,71682
7803,8,83616
8687,15,54636
8933,2,79224
9057,7,73116
9311,7,111474
9459,29,68262
9611,8,68262
9741,12,87006
9932,16,64662
9951,12,68262
10049,15,43104
10549,11,61530
10636,18,82008
10659,12,64662
10661,6,68262
10921,3,83616
11074,9,58572
12420,5,71748
12422,2,80778
12440,1,89130
12636,8,64662
12767,11,80724
12979,1,89130
13040,16,78012
13248,5,98898
13314,10,72810
13692,3,58572
14438,2,64926
14451,2,90348
14642,17,84054
14667,23,96648
14888,1,66924
14938,1,88830
15395,29,66378
15502,58,64662
15521,2,75816
15544,8,43104
15715,1,68382
15728,24,66924
15826,10,64356
15906,12,49548
15954,6,79926
15995,14,86142
16022,23,63654
16361,29,73116
16442,1,94236
17966,3,68262
18013,2,87534
18039,1,70656
18312,5,86130
18564,1,78012
18908,4,88830
18972,3,70656
19657,7,65292
19868,1,54636
19910,2,57426
20381,8,54636
20519,2,58896
20691,11,74628
20978,16,79980
20990,1,81252
21435,6,75372
21489,4,64662
21766,3,36984
22085,3,82272
22387,15,84876
22967,3,95106
23708,4,75372
23777,4,73116
23835,16,58572
23966,6,76266
24366,13,96060
24496,1,48078
24550,20,63654
24585,12,68262
25222,9,58572
25445,22,60600
25458,3,63456
25781,31,75372
25818,3,60600
26174,5,102978
26577,12,43104
26776,16,87006
27093,7,80724
27686,8,87372
27874,23,59412
27903,5,69270
28056,12,86130
28771,12,73116
28907,5,77238
29042,22,74628
29061,1,85662
29348,2,77238
29423,14,75372
29441,39,69270
29467,3,64662
30172,4,70656
30526,6,82788
30565,18,93276
30713,1,89130
30951,8,58572
31140,3,70656
31261,11,82788
31519,1,74328
31551,35,73968
32220,56,76476
32289,44,91338
93,12,73116
103,2,87534
1139,6,72480
1211,17,61518
1439,1,70488
2540,3,67920
2714,8,148356
2721,15,70488
2733,2,80400
2992,3,90960
3526,7,79980
3676,4,59412
3882,15,42258
3971,3,66906
4100,1,60918
4233,47,111474
4250,10,78012
4969,4,90024
5411,13,84756
5463,7,82422
5641,6,78450
6068,4,66906
6341,4,58572
6637,25,65016
6903,19,55764
8080,1,80724
8819,18,74628
9113,1,68262
9600,4,65292
10020,9,89718
10352,34,90456
10488,22,57426
10835,18,83220
10891,38,93708
10930,10,66906
11260,3,49548
11555,11,78012
12048,27,73116
12109,56,92718
12256,10,83706
12424,5,84054
12809,7,80808
13304,31,86520
13474,8,79134
13589,1,90024
13769,17,70656
13792,4,47604
13824,1,103932
13921,7,63114
14070,10,86142
14092,5,73116
14327,9,84054
14331,1,71748
14807,6,58896
15396,11,71040
15662,6,92316
15787,11,80724
16421,15,78006
17086,22,78012
17426,8,59412
17699,17,42258
17778,14,89130
18217,9,86508
18219,1,87372
18633,1,95106
18657,12,70656
18859,7,78360
18994,19,73116
19206,1,90024
19474,16,66924
19704,1,72510
19722,6,58896
19888,51,75726
20035,12,68262
20208,13,79980
20847,1,68262
20950,34,53136
21237,13,52092
21401,10,69270
21710,56,70656
22204,3,62742
22627,10,73116
22923,1,78360
23121,8,58572
23350,1,55728
23770,1,68166
23841,88,73116
24468,30,69270
24719,12,77238
24935,2,86520
25290,14,79980
25304,3,83706
25789,6,83214
25879,1,68262
26035,6,80724
26120,42,68994
26629,1,66906
27060,4,69648
27398,6,86142
27532,1,80724
27653,8,68262
28499,6,36984
28765,10,58572
29311,16,79980
29321,25,68262
29833,59,80724
30080,3,74628
30112,8,75510
30923,1,68262
32075,8,73632
32136,38,74628
33679,1,71790
198,20,97044
609,5,63456
974,6,90846
1102,14,63456
1303,25,93708
2099,1,60600
2192,1,145452
2322,22,72480
2664,1,84570
3162,11,76764
3514,24,94236
3645,17,83220
3863,6,75726
4872,2,77238
4888,17,80724
4974,6,80016
5440,16,80724
5534,1,103932
5663,36,92316
6046,7,90540
6157,1,58572
6226,5,82788
6508,19,66924
6538,5,68262
6962,3,99756
6999,6,78012
7032,26,71040
7246,8,68262
8211,1,89130
9553,7,93354
9852,7,66924
10158,24,60720
10222,2,55764
10498,12,80724
10533,14,58572
10633,18,70716
10937,6,71682
11197,3,73116
11542,9,89130
12180,8,69270
12769,1,85662
13055,17,101958
14025,3,96072
14164,1,87534
