number_complaints,officer,salary,year
2,5253,62742,2003
2,5274,87006,2017
2,5432,55764,2003
2,5432,68262,2008
2,5432,77238,2011
2,5432,78012,2013
2,5432,89130,2016
2,5432,90024,2017
2,5436,62742,2004
2,5436,71682,2005
2,5436,75816,2008
2,5436,75816,2009
2,5449,68262,2009
2,5449,86142,2016
2,5459,82746,2005
2,5459,85644,2006
2,5459,87354,2007
2,5470,79224,2016
2,5506,36984,2002
2,5506,68262,2008
2,5506,82788,2014
2,5506,83616,2015
2,5506,86142,2016
2,5555,49548,2002
2,5555,73164,2010
2,5555,82788,2014
2,5555,89130,2016
2,5555,90024,2017
2,5611,76476,2005
2,5611,80736,2009
2,5792,62742,2003
2,5792,62742,2004
2,5792,75816,2007
2,5803,68262,2009
2,5803,78012,2012
2,5803,78012,2013
2,5836,58572,2003
2,5836,58572,2004
2,5836,64662,2005
2,5836,70656,2008
2,5836,78012,2012
2,5900,67908,2002
2,5911,78006,2007
2,5921,69264,2003
2,5949,64662,2005
2,5949,70656,2007
2,5957,43104,2010
2,5957,68382,2013
2,5962,67908,2002
2,5962,69264,2003
2,5962,69264,2004
2,5997,43104,2012
2,5997,79224,2016
2,6037,57744,2006
2,6037,64992,2008
2,6037,68262,2009
2,6037,87006,2017
2,6115,66006,2002
2,6115,79152,2006
2,6115,89142,2012
2,6149,59412,2002
2,6149,66906,2005
2,6149,73116,2008
2,6149,89718,2015
2,6175,74328,2006
2,6230,36984,2004
2,6230,52788,2005
2,6230,64992,2008
2,6259,43104,2013
2,6259,75510,2016
2,6259,80016,2017
2,6323,68262,2008
2,6323,78012,2013
2,6408,82746,2006
2,6413,140532,2005
2,6426,69264,2004
2,6461,64992,2009
2,6461,79980,2014
2,6461,86142,2016
2,6466,84876,2007
2,6466,84876,2008
2,6466,84876,2009
2,6470,45750,2014
2,6530,71040,2011
2,6530,75372,2013
2,6530,84054,2017
2,6589,75102,2003
2,6589,99642,2006
2,6594,58896,2009
2,6594,79980,2014
2,6594,80778,2015
2,6626,62742,2004
2,6626,75816,2007
2,6626,82008,2008
2,6626,93192,2013
2,6627,96072,2007
2,6674,64374,2011
2,6674,80778,2015
2,6699,55728,2007
2,6707,67908,2002
2,6715,45732,2008
2,6804,61530,2013
2,6804,79224,2016
2,6847,82788,2014
2,6847,83616,2015
2,6851,55728,2008
2,6851,58896,2009
2,6851,75372,2013
2,6851,80778,2015
2,6855,55728,2008
2,6855,75372,2012
2,6855,84054,2017
2,6858,79224,2016
2,6859,61530,2013
2,6859,84054,2017
2,6916,84054,2017
2,6964,101958,2011
2,7053,57426,2002
2,7053,64662,2005
2,7053,69270,2006
2,7053,90618,2016
2,7092,62742,2004
2,7092,69270,2005
2,7092,86130,2012
2,7100,68994,2014
2,7100,73296,2015
2,7237,36984,2004
2,7237,64992,2008
2,7237,68262,2009
2,7237,75372,2012
2,7237,75372,2013
2,7237,83616,2015
2,7237,86142,2016
2,7340,63654,2002
2,7340,64926,2003
2,7342,75372,2012
2,7342,79980,2014
2,7376,70656,2008
2,7376,80724,2012
2,7376,80724,2013
2,7376,89718,2015
2,7392,43104,2012
2,7392,73296,2015
2,7440,58668,2005
2,7440,75372,2012
2,7440,82788,2014
2,7445,73476,2002
2,7445,74946,2004
2,7445,85644,2006
2,7445,87354,2008
2,7465,43104,2013
2,7465,69684,2015
2,7516,73296,2015
2,7567,61932,2007
2,7567,64992,2008
2,7567,83616,2015
2,7567,87006,2017
2,7645,64926,2004
2,7645,71682,2005
2,7645,76476,2006
2,7645,83604,2010
2,7645,86130,2012
2,7660,62742,2004
2,7660,71682,2005
2,7701,79224,2016
2,7714,60600,2003
2,7714,66906,2005
2,7714,73116,2007
2,7714,79926,2011
2,7714,83706,2012
2,7714,89718,2015
2,7718,47808,2003
2,7718,50538,2004
2,7718,58668,2005
2,7718,86142,2016
2,7745,75372,2012
2,7770,54672,2002
2,7770,58572,2003
2,7770,66924,2006
2,7770,78012,2012
2,7770,80724,2013
2,7773,47808,2003
2,7773,68262,2007
2,7773,101442,2016
2,7821,69264,2003
2,7936,43104,2012
2,7936,68994,2014
2,7944,77238,2011
2,7944,78012,2012
2,7944,82788,2014
2,7944,86520,2015
2,8067,53136,2003
2,8067,66924,2006
2,8067,68262,2008
2,8069,50538,2003
2,8069,74628,2011
2,8069,86142,2016
2,8076,67908,2002
2,8076,69264,2003
2,8076,69264,2004
2,8117,80808,2002
2,8117,82422,2003
2,8139,43104,2013
2,8139,68994,2014
2,8200,83706,2013
2,8230,55764,2003
2,8230,58572,2004
2,8230,64662,2005
2,8230,77238,2011
2,8230,90024,2017
2,8232,65868,2003
2,8232,74946,2005
2,8232,99888,2015
2,8320,93192,2012
2,8367,59724,2010
2,8367,68382,2012
2,8367,84054,2017
2,8408,43104,2012
2,8408,84054,2017
2,8415,72810,2003
2,8415,85818,2006
2,8415,87534,2007
2,8482,74328,2006
2,8482,83604,2010
2,8497,58572,2004
2,8497,66924,2006
2,8497,75726,2010
2,8497,77238,2011
2,8497,85662,2014
2,8503,69330,2002
2,8539,73164,2010
2,8539,74628,2011
2,8539,75372,2012
2,8539,86142,2016
2,8548,57426,2002
2,8548,66906,2005
2,8548,69270,2006
2,8548,76446,2007
2,8548,84810,2010
2,8548,86508,2011
2,8587,63114,2010
2,8587,67704,2011
2,8587,83220,2016
2,8587,84054,2017
2,8609,46872,2002
2,8609,61566,2005
2,8609,68262,2009
2,8609,73164,2010
2,8609,82788,2014
2,8630,72810,2003
2,8630,80400,2005
2,8630,82746,2006
2,8744,75510,2016
2,8766,73296,2015
2,8789,36984,2004
2,8789,68262,2009
2,8789,74628,2011
2,8789,75372,2012
2,8789,83616,2015
2,8789,86142,2016
2,8798,81252,2010
2,8810,42258,2006
2,8810,55728,2007
2,8810,61932,2009
2,8810,75372,2012
2,8810,75372,2013
2,8810,80778,2015
2,8836,75102,2004
2,8885,73476,2002
2,9023,57426,2002
2,9023,69270,2006
2,9023,70656,2007
2,9023,78360,2010
2,9023,92430,2016
2,9035,60600,2003
2,9035,83706,2013
2,9035,88830,2014
2,9035,93354,2017
2,9054,42258,2006
2,9054,58896,2007
2,9054,74628,2011
2,9082,42258,2006
2,9082,58896,2008
2,9082,61932,2009
2,9082,74628,2011
2,9082,75372,2013
2,9082,79980,2014
2,9110,68880,2002
2,9110,72810,2003
2,9157,68994,2014
2,9157,73296,2015
2,9169,42258,2006
2,9169,64992,2009
2,9169,80778,2015
2,9169,86142,2016
2,9374,73116,2007
2,9374,75816,2008
2,9374,75816,2009
2,9428,43104,2007
2,9428,75372,2012
2,9428,79980,2014
2,9428,84054,2017
2,9485,127278,2003
2,9496,73296,2015
2,9533,80022,2003
2,9533,80022,2004
2,9554,69648,2010
2,9554,75372,2013
2,9558,55764,2004
2,9558,68262,2007
2,9558,68262,2009
2,9558,73164,2010
2,9558,82788,2014
2,9568,50538,2004
2,9568,78012,2012
2,9581,42258,2006
2,9581,69648,2010
2,9639,66006,2002
2,9640,50538,2003
2,9640,73164,2010
2,9640,82788,2014
2,9740,68994,2014
2,9740,73296,2015
2,9740,79224,2016
2,9745,88356,2005
2,9766,80022,2003
2,9803,70656,2007
2,9826,74946,2003
2,9843,36984,2004
2,9843,68262,2009
2,9843,75372,2012
2,9851,58896,2007
2,9851,64992,2009
2,9851,75372,2013
2,9871,66924,2006
2,9871,70656,2009
2,9907,42258,2006
2,9907,58896,2008
2,9907,61932,2009
2,9935,73116,2008
2,9950,75510,2016
2,9950,80016,2017
2,9996,66906,2005
2,9996,73116,2009
2,10005,73296,2015
2,10124,60600,2003
2,10124,71682,2006
2,10124,73116,2007
2,10124,78360,2010
2,10149,69264,2004
2,10149,79152,2006
2,10222,154992,2011
2,10257,43104,2012
2,10344,79224,2016
2,10344,80016,2017
2,10381,69264,2004
2,10381,80736,2007
2,10382,70716,2003
2,10382,88356,2005
2,10382,91002,2006
2,10382,92820,2007
2,10461,68880,2002
2,10461,82746,2006
2,10461,90456,2010
2,10518,58896,2007
2,10518,61932,2008
2,10518,75372,2012
2,10564,64356,2002
2,10564,65646,2004
2,10564,79134,2007
2,10564,79134,2008
2,10564,79134,2009
2,10564,87888,2010
2,10564,89646,2011
2,10564,90540,2012
2,10587,79152,2006
2,10587,80736,2007
2,10608,46872,2002
2,10608,66924,2006
2,10608,68262,2007
2,10608,77238,2011
2,10608,83616,2015
2,10660,64662,2005
2,10660,66924,2006
2,10660,76446,2008
2,10660,76446,2009
2,10660,96474,2016
2,10719,43104,2013
2,10719,65292,2014
2,10947,50538,2003
2,10947,53136,2004
2,10947,66924,2006
2,10947,77238,2011
2,10947,82788,2014
2,11008,66924,2006
2,11008,75726,2010
2,11008,93708,2012
2,11008,93708,2013
2,11031,61518,2003
